,34.62365962451697,78.0246928153624,0
0,30.28671076822607,43.894997524001006,0
1,35.84740876993872,72.90219802708364,0
2,60.18259938620975,86.30855209546827,1
3,79.0327360507101,75.3443764369103,1
4,45.083277476683385,56.316371781530506,0
5,61.10666453684766,96.51142588489624,1
6,75.02474556738889,46.55401354116538,1
7,76.09878670226256,87.42056971926803,1
8,84.43281996120034,43.533393310721095,1
9,95.86155507093572,38.22527805795094,0
10,75.01365838958247,30.60326323428011,0
11,82.3070533739948,76.48196330235605,1
12,69.36458875970939,97.71869196188608,1
13,39.538339143672225,76.0368108511588,0
14,53.9710521485623,89.20735013750205,1
15,69.07014406283025,52.740469730167646,1
16,67.94685547711617,46.67857410673128,0
17,70.66150955499434,92.92713789364832,1
18,76.97878372747499,47.575963649755316,1
19,67.37202754570876,42.83843832029179,0
20,89.67677575072081,65.79936592745237,1
21,50.534788289883004,48.85581152764205,0
22,34.21206097786789,44.209528598662885,0
23,77.9240914545704,68.9723599933059,1
24,62.27101367004632,69.95445795447587,1
25,80.19018075095659,44.821628932183536,1
26,93.114388797442,38.80067033713209,0
27,61.83020602312595,50.25610789244621,0
28,38.78580379679423,64.99568095539578,0
29,61.379289447425,72.80788731317097,1
30,85.40451939411645,57.05198397627122,1
31,52.10797973193984,63.127623768817145,0
32,52.04540476831827,69.43286012045222,1
33,40.236893735451105,71.16774802184875,0
34,54.63510555424817,52.21388588061123,0
35,33.91550010906887,98.86943574220612,0
36,64.17698887494485,80.90806058670817,1
37,74.78925295941542,41.57341522824434,0
38,34.1836400264419,75.2377203360134,0
39,83.90239366249155,56.30804621605328,1
40,51.54772026906181,46.85629026349976,0
41,94.44336776917852,65.56892160559052,1
42,82.36875375713919,40.61825515970618,0
43,51.04775177128865,45.82270145776001,0
44,62.222675761201884,52.060991948366784,0
45,77.19303492601364,70.4582000018096,1
46,97.7715992800023,86.7278223300282,1
47,62.073063796676465,96.76882412413984,1
48,91.56497449807442,88.69629254546598,1
49,79.94481794066932,74.16311935043757,1
50,99.2725269292572,60.99903099844988,1
51,90.5467141139985,43.39060180650027,1
52,34.52451385320009,60.39634245837173,0
53,50.286496118990705,49.80453881323059,0
54,49.58667721632031,59.80895099453265,0
55,97.64563396007769,68.86157272420604,1
56,32.57720016809309,95.59854761387876,0
57,74.24869136721598,69.82457122657193,1
58,71.7964620586338,78.45356224515052,1
59,75.39561146568029,85.75993667331619,1
60,35.28611281526193,47.02051394723416,0
61,56.253817497116245,39.261472510580184,0
62,30.05882244669796,49.59297386723685,0
63,44.66826172480893,66.45008614558913,0
64,66.56089447242954,41.09209807936973,0
65,40.45755098375164,97.53518548909935,1
66,49.07256321908844,51.88321182073966,0
67,80.27957401466998,92.11606081344084,1
68,66.74671856944039,60.99139402740989,1
69,32.722833040603234,43.307173064300635,0
70,64.0393204150601,78.03168802018232,1
71,72.34649422579923,96.22759296761404,1
72,60.4578857391896,73.09499809758037,1
73,58.840956217268015,75.85844831279043,1
74,99.82785779692128,72.36925193383884,1
75,47.26426910848174,88.47586499559782,1
76,50.45815980285988,75.80985952982456,1
77,60.45555629271532,42.50840943572217,0
78,82.2266615778557,42.719878537164576,0
79,88.91389641665329,69.80378889835472,1
80,94.83450672430195,45.69430680250754,1
81,67.31925746917527,66.58935317747915,1
82,57.238706315698614,59.51428198012957,1
83,80.36675600171273,90.96014789746954,1
84,68.46852178591112,85.59430710452014,1
85,42.0754545384731,78.84478600148044,0
86,75.47770200533905,90.42453899753963,1
87,78.6354243489802,96.64742716885642,1
88,52.34800398794108,60.76950525602592,0
89,94.09433112516793,77.15910509073893,1
90,90.44855097096365,87.50879176484702,1
91,55.48216114069585,35.570703472288656,0
92,74.49269241843041,84.84513684930135,1
93,89.8458067072098,45.35828361091658,1
94,83.48916274498238,48.38028579728175,1
95,42.261700809981704,87.10385094025456,1
96,99.31500880510393,68.77540947206617,1
97,55.34001756003703,64.9319380069486,1
98,74.77589300092767,89.52981289513276,1
